precision = 0.222222222222
index 	old *-val 	new *-val 	delta
0 	2.0 	1.0 	1.0
1 	1.0 	5.0 	-4.0
2 	5.0 	1.0 	4.0
3 	2.0 	1.0 	1.0
4 	1.0 	3.0 	-2.0
5 	5.0 	5.0 	0.0
6 	5.0 	3.0 	2.0
7 	5.0 	1.0 	4.0
8 	5.0 	3.0 	2.0
9 	5.0 	3.0 	2.0
10 	1.0 	1.0 	0.0
11 	1.0 	3.0 	-2.0
14 	5.0 	3.0 	2.0
20 	4.0 	3.0 	1.0
21 	5.0 	5.0 	0.0
22 	2.0 	3.0 	-1.0
23 	3.0 	3.0 	0.0
24 	5.0 	5.0 	0.0
27 	5.0 	3.0 	2.0
28 	5.0 	3.0 	2.0
29 	5.0 	3.0 	2.0
32 	5.0 	3.0 	2.0
34 	1.0 	3.0 	-2.0
35 	4.0 	1.0 	3.0
36 	5.0 	3.0 	2.0
37 	5.0 	3.0 	2.0
38 	5.0 	3.0 	2.0
39 	5.0 	3.0 	2.0
41 	2.0 	5.0 	-3.0
42 	5.0 	3.0 	2.0
43 	5.0 	3.0 	2.0
44 	5.0 	5.0 	0.0
45 	4.0 	3.0 	1.0
46 	1.0 	1.0 	0.0
48 	5.0 	3.0 	2.0
49 	5.0 	5.0 	0.0
